reviewerID	asin
A25C2M3QF9G7OQ	B00000JBLU
A1RTVWTWZSIC94	B00000JBLU
A30U2QQN2FFHE9	B00000JBLU
A2W0XCWOK3MW6F	B00000JBLU
AGBFIQMV9L61Y	B00000JBLU
A2R6RA8FRBS608	B00000JBLU
A2A1XYSB692L6J	B00000JBLU
A4XCTN5YLC89U	B00000JBLU
A1LYT85S93HUNY	B00000JBLU
A2ZM9BGE3K3SY2	B00000JBNX
A1L9E4OA926W9B	B00000JBNX
A2C1Y5F8DE9H6P	B00000JBNX
A3DOPYDOS49I3T	B00000JBNX
A1Z54EM24Y40LL	B00000JBNX
A1TS45JWJVOSSW	B00000JBNX
A2GL70AZ8MWXI3	B00000JBNX
A1QI6PI0HH4H0P	B00000JBNX
A1RTVWTWZSIC94	B00000JBNX
A3DWENW34NQEAV	B00000JBNX
A21TCOLZEFE1AQ	B00000JBNX
A3SYP5JOEHUWDU	B00000JBNX
A6KL17KKN0A5L	B00000JBNX
A2YAIK7WVZ8VMK	B00000JBNX
A1SYLII0808HD6	B00000JBNX
A39UA5WK18IY01	B00000JBNX
A3U16LITWT2PQJ	B00000JBNX
A8WAYVOKYBLO6	B00000JBNX
A3NG7X4APIV649	B00000JBNX
A36OT34BWUV59E	B00000JBNX
AOUM75FA941HX	B00000JBNX
AO9X6644SGODF	B00000JBNX
A3LZA698SQPCXE	B00000JBNX
A1AC1ZXX9IBCTT	B00000JFNV
A1P2XYD265YE21	B00000JFNV
A2JXCOUGYS5Y4J	B00000JFNV
A1FLQM52V9YV94	B00000JFNV
A28ZDVY6NV75P	B00000JFNV
A2FRFAQCWZJT3Q	B00000JFNV
AY3XPKRAMKKY7	B00000JFNV
APOGXH3A74CM3	B00000JFNV
AZD8SMNGQI98O	B00000JFNV
A55PCTJ6NINET	B00000JFNV
A12XDEMP7PQPDT	B00000JFNV
A1X2LENOF84LCQ	B00000JFNV
A11XT24G3PZ8CQ	B00000JFNV
A1IM4D3R61A2K0	B00000JFNV
ANHL7BB84WJMF	B00000JFNV
A3IR834T7AROBT	B00000JFNV
A2XU6J41ZQOJ2V	B00000JFNV
A286YO5OCIB9ZQ	B00000JFNV
A3M6KV5PDU46YI	B00000JFNV
AB094YABX21WQ	B00000JFNV
A2BVNVJOFXGZUB	B00000JFNV
A34CSXOGVYF94S	B00000JFNV
A1QQDHM5YMLQ8Z	B00000JFNV
A3D9NUCR4RXDPY	B00000JFNV
A3S0LG7590F4MG	B00000JFNV
AF74UAKV3Q3W0	B00000JFNV
API5JLBRT6FIN	B00000JFNV
A2W0XCWOK3MW6F	B00000JFNV
AZ8XSDMIX04VJ	B00000JFNV
A16AXQ11SZA8SQ	B00000JFNV
AH9MUK2Z52V6N	B00000JFNV
A1ONZ8JRPLBNUI	B00000JFNV
A1E1L1OJZQI3OO	B00000JFNV
A3UKWQS8SRW6IO	B00000JFNV
A3EPJSPH03AS29	B00000JFNV
A3UC3YT2E65LZO	B00000JFNV
A2NNH35DIY658	B00000JFNV
A140ICK18NAAYR	B00000JFNV
A1V31KX83H4M18	B00000JFNV
A3FS3FJPD3RJTD	B00000JFNV
A2I4A4WGWII18Z	B00000JFNV
AD1ZOPB0BBEHB	B00000JFNV
AZBXKUH4AIW3X	B00000JFNV
A58N07M0ZCYMB	B00000JFNV
A13WBUX01Q4D35	B00000K3T0
A3NHUQ33CFH3VM	B00000K3T0
AQJMBQN2ZPAU1	B00000K3T0
A3GNRMHCTL5K3U	B00000K3T0
A2A1XYSB692L6J	B00000K3T0
AI1J8UQELHK8L	B00001MXVQ
AR74YY08IP2WE	B00001MXVQ
A34F15TPWKCU50	B00001MXVQ
A3CG6YLYZJXQG4	B00001MXVQ
AZU2JDR2GVICQ	B00001MXVQ
ALS9E01HVAVNM	B00002NDS2
AFXTKAO0CB354	B00002NDS2
A1PV5T5S4D5NPI	B00002NDS2
A26X7W5UM5QFT4	B00002NDS2
A1JTTJ7M7EC7Q7	B00002NDS2
A1R4BVOF5YKJX0	B00002NDS2
A1X1CEGHTHMBL1	B00002NDS2
A1JFNZ4UAMEZN3	B00002NDS2
AYXVKR3QNGB7D	B00002NDS2
A10PEXB6XAQ5XF	B00002NDS2
A35Z79KY3W7QYA	B00002NDS2
A9TJ1ZSTUF9BV	B00002NDS2
A1KY5G5FP31F2F	B00002NDS2
A31N0XY2UTB25C	B00002NDS2
ARIDN94LOCQFD	B00002NDS2
ACT1EPHFS9E7V	B00002NDS2
A3NGABXDIB0POU	B00002QUKW
ACVU7OORPTPVX	B00002QUKW
A3CJ2VH56T4TCW	B00002QUKW
A2AXKUSM1SB5BD	B00002QUKW
AVP2KMGLVPCYF	B00002QUKW
ARBKYIVNYWK3C	B00002QUKW
A1TMAVN4CEM8U8	B000031WDB
A2H4GCOBMYKIZE	B000031WDB
A3KY00QZMJQNAZ	B000031WDB
A241HDIOHZJRBR	B000031WDB
A3UBDVOL5UDIIB	B000031WDB
A1XMNRX6G0ZS56	B000031WDB
AR6E0WAEOCUKI	B000031WDB
A11YOTONCPRQ9S	B000031WDB
A1Q1DHNZRTK3XH	B000031WDB
A2XSY4L7GDHV4W	B000031WDB
A2L9OPJAAEK08Q	B000031WDB
A1DQEJN9C8AM5K	B000031WDB
A39WLAM38IEBWM	B000031WDB
A1OA8BH7N6PYWV	B000031WDB
A2PU80LCKRMC9X	B000034DLQ
A100WO06OQR8BQ	B000034DLQ
A33AEK6T00UR4X	B000034DLQ
AZ8XSDMIX04VJ	B000034DLQ
A3FGOOWBV8SUCA	B000034DLQ
A2O168CJIAEGL5	B000034DLQ
